task,model,building_id,source_area,context_tolerance_m,paired_point_rmse_m,hausdorff_distance_m,relative_area_error_pct,source_is_valid,target_is_valid,prediction_is_valid
Fixed 2 m target,Identity baseline,2461,wedding,,1.062054805605219,1.90663502747029,5.3357588626863155,True,True,True
Fixed 2 m target,Identity baseline,2462,wedding,,1.3587573968444329,1.6325866728971834,0.5105717818219515,True,True,True
Fixed 2 m target,Identity baseline,2463,wedding,,0.7316480325690865,1.1267349199108265,1.0508207031667982,True,True,True
Fixed 2 m target,Identity baseline,2464,wedding,,0.6661043260951838,0.9999999655410647,1.8124324642641947,True,True,True
Fixed 2 m target,Identity baseline,2465,wedding,,1.0738280224683052,1.8433975741736723,2.823095462864298,True,True,True
Fixed 2 m target,Identity baseline,2466,wedding,,1.06857188587741,1.7098795962834228,5.074383690871905,True,True,True
Fixed 2 m target,Identity baseline,2467,wedding,,1.0404125974409666,0.9849580553537575,3.7287376830160563,True,True,True
Fixed 2 m target,Identity baseline,2468,wedding,,1.0706118369691788,1.3346332114199344,1.2824008007426988,True,True,True
Fixed 2 m target,Identity baseline,2469,wedding,,0.9815964017814927,1.3559946284901576,1.6129906510897063,True,True,True
Fixed 2 m target,Identity baseline,2470,wedding,,0.5695896088843488,0.7614095878497306,0.6116090847676084,True,True,True
Fixed 2 m target,Identity baseline,2471,wedding,,0.32644666595769545,1.0000002076849341,2.611807838182575,True,True,True
Fixed 2 m target,Identity baseline,2472,wedding,,0.08856093809767064,0.4922819124532641,0.35561942382089007,True,True,True
Fixed 2 m target,Identity baseline,2473,wedding,,0.22977249808730402,0.611468464397053,2.0324242717163568,True,True,True
Fixed 2 m target,Identity baseline,2474,wedding,,1.5271488828852853,2.184378216814266,4.3766006863223765,True,True,True
Fixed 2 m target,Identity baseline,2475,wedding,,0.35432939416772574,0.5869676268107898,0.5150347439525363,True,True,True
Fixed 2 m target,Identity baseline,2476,wedding,,0.8530842682332723,1.4468600265262868,4.002290837387404,True,True,True
Fixed 2 m target,Identity baseline,2477,wedding,,0.6237046880292406,1.000000179745257,2.0120294707566746,True,True,True
Fixed 2 m target,Identity baseline,2478,wedding,,0.5770154451925456,0.9378115040282755,8.775492207461705,True,True,True
Fixed 2 m target,Identity baseline,2479,wedding,,1.1215904691525265,1.609949481373256,3.0506752055679724,True,True,True
Fixed 2 m target,Identity baseline,2480,wedding,,0.3171047387437201,0.4446953627413348,1.83554023112565,True,True,True
Fixed 2 m target,Identity baseline,2481,wedding,,1.4873633858882476,1.7818267450383003,5.573057695474229,True,True,True
Fixed 2 m target,Identity baseline,2482,wedding,,0.2013898232767419,0.6228411000631817,1.8657376508283172,True,True,True
Fixed 2 m target,Identity baseline,2483,wedding,,1.3476618531702702,1.6027394824674166,0.215629039997774,True,True,True
Fixed 2 m target,Identity baseline,2484,wedding,,1.1818069842809247,1.5515117630342525,3.547176508004193,True,True,True
Fixed 2 m target,Identity baseline,2485,wedding,,1.7801702531472916,2.310763672181629,2.0017903959240213,True,True,True
Fixed 2 m target,Identity baseline,2486,wedding,,0.9192726278643184,1.321982182250089,3.1777281446958265,True,True,True
Fixed 2 m target,Identity baseline,2487,wedding,,1.1825684167579962,1.6040118043291038,0.9083076026540284,True,True,True
Fixed 2 m target,Identity baseline,2488,wedding,,1.6429485386631,1.4173013614839698,2.4645092841744187,True,True,True
Fixed 2 m target,Identity baseline,2489,wedding,,0.6966061353710635,1.3970866673927784,2.8740443587258917,True,True,True
Fixed 2 m target,Identity baseline,2490,wedding,,0.7259741947520332,1.6411439194998132,1.1486759984451989,True,True,True
Fixed 2 m target,Identity baseline,2491,wedding,,1.193217078311438,0.9502298881575372,1.6937285962827473,True,True,True
Fixed 2 m target,Identity baseline,2492,wedding,,0.7030164371051051,1.3476747411531904,1.8741439954191494,True,True,True
Fixed 2 m target,Identity baseline,2493,wedding,,0.4068505347816866,0.5829640357701265,0.1541220024460246,True,True,True
Fixed 2 m target,Identity baseline,2494,wedding,,2.036726336002721,2.401564098364574,12.880092557897566,True,True,True
Fixed 2 m target,Identity baseline,2495,wedding,,0.00552426161318785,0.03020260554887022,0.023414362713054734,True,True,True
Fixed 2 m target,Identity baseline,2496,wedding,,1.0747938849730718,1.8499999399646234,2.699218642718719,True,True,True
Fixed 2 m target,Identity baseline,2497,wedding,,1.0791575828869804,1.6642228817828293,1.6006993337794615,True,True,True
Fixed 2 m target,Identity baseline,2498,wedding,,0.8999478732476798,0.965590239706861,0.07445620244836894,True,True,True
Fixed 2 m target,Identity baseline,2499,wedding,,2.025969613983018,1.723193727344758,2.465011280953456,True,True,True
Fixed 2 m target,Identity baseline,2500,wedding,,1.1693461893389419,1.3930435521778992,2.337395211868975,True,True,True
Fixed 2 m target,Identity baseline,2501,wedding,,0.3940475489841713,0.5728724493312922,3.3999263006425626,True,True,True
Fixed 2 m target,Identity baseline,2502,wedding,,1.5709440402628656,1.8533941199794985,13.827631350044713,True,True,True
Fixed 2 m target,Identity baseline,2503,wedding,,0.5555670776364142,0.9633185599637734,3.3099524151285213,True,True,True
Fixed 2 m target,Identity baseline,2504,wedding,,0.9751239109471245,1.2790006416383204,1.665293931386095,True,True,True
